Num_Acc,jour,mois,an,hr,condition_eclairage,departement,commune,condition_agglomeration,intersection,condition_atmosphere,type_collision,adresse,lattitude,longitude
201400000001,7,5,14,20,1,59,11,2,1,1,3,route de don,0.0,0.0
201400000002,31,5,14,4,1,59,11,2,1,1,6,106 ROUTE DE DON,0.0,0.0
201400000003,23,8,14,18,1,59,52,2,9,1,3,75 bis rue jean jaures,0.0,0.0
201400000004,12,6,14,17,1,59,25,2,1,1,1,rue des Sablonnieres D41,0.0,0.0
201400000005,23,6,14,5,2,59,25,1,1,1,1,,0.0,0.0
201400000006,11,10,14,6,5,59,550,1,6,2,2,,0.0,0.0
201400000007,11,10,14,14,1,59,281,2,9,1,7,Chemin des Loups,0.0,0.0
201400000008,16,10,14,12,1,59,51,2,4,1,6,Rue gabriel Péri,50.53223,2.8149
201400000009,2,11,14,11,1,59,257,1,1,1,1,,0.0,0.0
201400000010,30,11,14,19,5,59,524,2,1,8,6,RUE DE VERDUN,0.0,0.0
201400000011,2,5,14,5,3,59,411,1,1,1,1,,0.0,0.0
201400000012,3,6,14,13,1,59,34,1,1,1,3,,0.0,0.0
201400000013,21,11,14,8,1,59,34,1,1,1,6,,0.0,0.0
201400000014,2,12,14,9,1,59,34,1,1,8,3,,0.0,0.0
201400000015,19,12,14,9,1,59,34,1,1,2,5,,0.0,0.0
201400000016,12,1,14,7,2,59,592,1,1,9,6,,0.0,0.0
201400000017,26,1,14,19,3,59,592,1,2,2,3,,0.0,0.0
201400000018,22,2,14,9,1,59,592,1,1,7,2,,0.0,0.0
201400000019,14,3,14,15,1,59,592,2,2,1,3,rue J. BEGHIN,0.0,0.0
201400000020,18,4,14,16,1,59,411,1,1,1,7,,50.486,3.059
201400000021,2,7,14,14,1,59,411,1,1,1,3,,0.0,0.0
201400000022,14,7,14,19,1,59,452,2,1,1,1,place de la r?publique,0.0,0.0
201400000023,13,1,14,14,1,59,94,1,3,1,3,,0.0,0.0
201400000024,11,3,14,11,1,59,130,1,1,1,1,,0.0,0.0
201400000025,4,6,14,14,1,59,110,1,1,1,1,,50.959,2.268
201400000026,19,6,14,13,1,59,307,1,1,1,1,,50.862,2.21
201400000027,19,6,14,15,1,59,307,1,1,1,7,,50.876,2.199
201400000028,5,9,14,13,1,59,576,1,3,1,3,,50.977,2.314
201400000029,17,9,14,12,1,59,110,1,1,1,2,,50.971,2.28
201400000030,6,2,14,11,1,59,663,1,1,1,3,,0.0,0.0
201400000031,21,2,14,14,1,59,663,2,1,1,6,CD916 route de bergues,0.0,0.0
201400000032,12,6,14,18,1,59,89,2,1,7,6,rue de la poste,0.0,0.0
201400000033,5,8,14,9,1,59,305,2,1,1,3,rue du st sacrement,0.0,0.0
201400000034,28,9,14,19,1,59,663,1,1,1,6,,0.0,0.0
201400000035,31,10,14,11,1,59,663,2,2,1,3,route de bergues,0.0,0.0
201400000036,2,12,14,8,2,59,663,2,1,1,6,CD 17 route d'Herzeele,0.0,0.0
201400000037,16,4,14,13,1,59,416,1,1,1,6,,0.0,0.0
201400000038,24,5,14,0,3,59,536,1,1,1,3,,0.0,0.0
201400000039,15,6,14,16,1,59,590,2,1,1,6,30 rue de tannay,0.0,0.0
201400000040,10,7,14,22,3,59,416,1,1,1,6,,0.0,0.0
201400000041,1,8,14,17,1,59,87,1,1,1,2,Rue de Cassel,50.66771,2.45764
201400000042,14,8,14,10,1,59,120,2,1,1,6,Route de Bailleul,0.0,0.0
201400000043,7,10,14,9,1,59,84,2,1,2,6,Rue Plockyn,0.0,0.0
201400000044,19,10,14,10,1,59,120,1,1,1,7,,0.0,0.0
201400000045,3,11,14,20,5,59,582,1,6,3,7,,0.0,0.0
201400000046,11,3,14,17,1,59,237,2,9,1,1,rue de Godewaersvelde,0.0,0.0
201400000047,23,6,14,15,1,59,401,1,2,1,3,,0.0,0.0
201400000048,1,12,14,7,3,59,401,1,1,1,5,,0.0,0.0
201400000049,8,12,14,4,3,59,401,1,1,9,7,,0.0,0.0
201400000050,8,1,14,18,5,59,212,2,1,2,6,18 rue de LILLE,50.64334,2.72739
201400000051,5,4,14,15,1,59,212,1,1,7,3,,0.0,0.0
201400000052,28,5,14,20,1,59,581,1,1,1,6,,50.673,2.78
201400000053,21,10,14,11,1,59,180,2,1,3,1,rue du louf,50.69,2.715
