Num_Acc,category_route,regime_circulation,voie_reserve,profil_route,etat_surface,Infrastructure,situation,nb_voies
202000000001,4,2,0,1,1,0,1,2
202000000002,4,2,0,1,1,0,1,2
202000000003,4,-1,0,1,1,0,1,2
202000000004,4,2,0,1,1,0,1,2
202000000005,3,1,0,1,1,3,8,1
202000000006,3,2,0,1,2,0,1,3
202000000007,3,2,0,1,1,0,1,6
202000000008,4,2,0,1,2,5,1,4
202000000009,3,2,0,1,1,5,1,2
202000000010,3,2,0,1,1,0,1,2
202000000011,7,2,0,1,1,0,1,3
202000000012,4,2,0,1,1,0,1,2
202000000013,4,3,0,1,1,0,1,2
202000000014,4,2,1,1,1,0,1,2
202000000015,3,2,0,2,2,0,4,2
202000000016,4,2,0,1,1,5,1,2
202000000017,4,3,2,1,1,0,5,2
202000000018,4,2,0,1,2,5,1,4
202000000019,3,2,0,2,2,0,3,2
202000000020,4,2,0,1,1,0,1,2
202000000021,4,2,0,1,1,0,1,2
202000000022,4,2,0,1,1,0,1,2
202000000023,4,2,0,2,1,2,1,4
202000000024,4,1,0,4,1,0,1,2
202000000025,4,2,0,1,1,0,1,2
202000000026,4,2,0,1,1,0,1,2
202000000027,4,2,0,1,1,0,1,2
202000000028,4,1,3,1,1,0,1,2
202000000029,4,1,0,2,8,0,1,1
202000000030,4,1,0,1,2,0,1,1
202000000031,4,3,0,1,2,0,1,4
202000000032,4,2,1,1,1,0,5,4
202000000033,4,2,3,1,1,0,6,4
202000000034,4,1,1,1,1,0,5,2
202000000035,4,1,3,1,1,0,6,3
202000000036,3,2,0,1,1,0,1,2
202000000037,3,1,0,1,1,5,1,2
202000000038,3,2,0,1,1,0,1,2
202000000039,3,2,0,1,1,0,1,2
202000000040,4,1,0,1,1,9,1,1
202000000041,3,3,0,1,1,0,1,4
202000000042,3,3,0,1,1,0,1,4
202000000043,3,2,0,1,1,9,8,2
202000000044,3,3,0,1,1,0,1,5
202000000045,3,3,0,2,1,0,1,4
202000000046,3,3,0,1,1,5,1,6
202000000047,3,1,3,2,1,0,6,3
202000000048,3,2,0,1,1,0,1,2
202000000049,3,-1,0,1,1,5,1,2
202000000050,3,3,0,3,1,0,3,4
202000000051,4,2,0,2,2,0,1,2
202000000052,3,2,0,2,1,0,1,2
202000000053,4,2,0,1,1,0,3,2
202000000054,4,2,0,1,1,0,3,2
202000000055,3,2,0,1,1,0,1,2
202000000056,3,2,0,1,2,0,3,2
202000000057,4,2,0,1,1,0,3,2
202000000058,3,2,0,1,1,9,3,2
202000000059,3,2,0,2,1,0,1,2
202000000060,3,2,0,2,1,0,3,2
202000000061,3,2,0,2,1,0,3,2
202000000062,3,2,0,1,2,0,1,3
202000000063,3,2,0,1,1,0,1,2
202000000064,3,2,0,1,1,0,1,2
202000000065,3,2,0,1,2,0,1,2
202000000066,4,2,0,1,1,0,4,2
202000000067,3,2,0,1,1,5,1,2
202000000068,3,2,0,2,1,0,3,2
202000000069,3,2,0,1,1,5,1,2
202000000070,9,2,1,1,2,9,5,2
202000000071,3,2,0,1,1,0,3,2
202000000072,3,2,0,2,2,0,3,2
202000000073,3,2,0,1,1,0,1,2
202000000074,3,2,0,2,1,5,1,2
202000000075,3,2,1,2,1,0,1,2
202000000076,4,2,3,1,1,9,6,2
202000000077,3,2,0,1,1,0,3,2
202000000078,1,3,0,1,2,0,4,3
202000000079,1,3,0,1,2,0,1,4
202000000080,1,1,0,1,1,0,1,4
202000000081,2,2,0,1,1,0,1,2
202000000082,3,2,0,1,1,9,4,2
202000000083,3,2,0,2,1,0,3,2
202000000084,3,2,0,2,1,0,1,2
202000000085,3,2,0,1,1,9,1,2
202000000086,3,2,0,3,1,2,4,2
202000000087,3,3,0,1,1,0,1,1
