Num_Acc,category_usager,gravite,sexe,motif_deplacement,secu,localisation_pieton,action_pieton,pieton_seul_ou_non,annee_naissance,num_veh,secu1,secu2,secu3
201300000001,1,1,1,1,11,0,0.0,0,1961,A01,1,-1,-1
201300000001,1,3,1,1,21,0,0.0,0,1987,B02,2,-1,-1
201300000002,1,3,1,5,21,0,0.0,0,1963,A01,2,-1,-1
201300000003,1,1,1,1,11,0,0.0,0,1986,A01,1,-1,-1
201300000003,1,3,1,5,21,0,0.0,0,1971,B02,2,-1,-1
201300000004,1,3,1,1,11,0,0.0,0,1963,A01,1,-1,-1
201300000004,2,4,1,0,11,0,0.0,0,1956,A01,1,-1,-1
201300000005,1,1,1,5,11,0,0.0,0,1985,A01,1,-1,-1
201300000005,3,3,2,5,-1,1,0.0,1,2005,A01,-1,-1,-1
201300000006,1,1,1,5,11,0,0.0,0,1967,B02,1,-1,-1
201300000006,1,1,1,5,21,0,0.0,0,1956,A01,2,-1,-1
201300000006,2,3,2,0,21,0,0.0,0,1956,A01,2,-1,-1
201300000007,1,3,1,4,11,0,0.0,0,1967,A01,1,-1,-1
201300000008,1,3,1,5,21,0,0.0,0,1996,A01,2,-1,-1
201300000009,1,3,1,5,1,0,0.0,0,1981,A01,-1,-1,-1
201300000009,1,1,1,1,11,0,0.0,0,1991,B02,1,-1,-1
201300000010,1,3,1,5,21,0,0.0,0,1961,A01,2,-1,-1
201300000011,1,1,1,1,11,0,0.0,0,1981,A01,1,-1,-1
201300000011,3,3,2,3,-1,2,3.0,1,1959,A01,-1,-1,-1
201300000012,1,3,1,1,11,0,0.0,0,1975,A01,1,-1,-1
201300000013,1,3,1,5,21,0,0.0,0,1986,B02,2,-1,-1
201300000013,1,1,1,9,11,0,0.0,0,1984,A01,1,-1,-1
201300000014,1,3,1,1,21,0,0.0,0,1978,B02,2,-1,-1
201300000014,1,1,1,4,11,0,0.0,0,1960,A01,1,-1,-1
201300000015,1,4,1,2,21,0,0.0,0,1998,A01,2,-1,-1
201300000016,1,1,1,5,11,0,0.0,0,1991,A01,1,-1,-1
201300000016,2,1,2,0,11,0,0.0,0,1986,A01,1,-1,-1
201300000016,1,4,1,5,21,0,0.0,0,1992,B02,2,-1,-1
201300000016,2,4,2,0,21,0,0.0,0,1995,B02,2,-1,-1
201300000017,1,4,1,3,23,0,0.0,0,1989,A01,-1,-1,-1
201300000017,1,1,1,3,13,0,0.0,0,1937,B02,-1,-1,-1
201300000018,1,4,1,5,11,0,0.0,0,1973,A01,1,-1,-1
201300000018,2,3,1,0,32,0,0.0,0,2009,A01,-1,-1,-1
201300000019,1,3,1,0,11,0,0.0,0,1994,A01,1,-1,-1
201300000020,1,3,1,5,21,0,0.0,0,1991,B02,2,-1,-1
201300000020,1,1,1,3,11,0,0.0,0,1938,A01,1,-1,-1
201300000020,1,1,2,5,1,0,0.0,0,1976,C03,-1,-1,-1
201300000021,1,4,1,5,21,0,0.0,0,1999,A01,2,-1,-1
201300000022,1,3,1,5,22,0,0.0,0,1998,A01,-1,-1,-1
201300000023,1,4,2,1,11,0,0.0,0,1961,A01,1,-1,-1
201300000024,1,1,2,5,11,0,0.0,0,1933,B02,1,-1,-1
201300000024,1,4,2,5,11,0,0.0,0,1964,A01,1,-1,-1
201300000025,1,2,1,1,21,0,0.0,0,1981,A01,2,-1,-1
201300000026,1,3,1,5,21,0,0.0,0,1963,A01,2,-1,-1
201300000027,1,3,1,5,21,0,0.0,0,1987,B02,2,-1,-1
201300000027,1,1,1,5,11,0,0.0,0,1933,A01,1,-1,-1
201300000028,1,1,1,5,11,0,0.0,0,1970,A01,1,-1,-1
201300000028,2,1,1,0,11,0,0.0,0,1995,A01,1,-1,-1
201300000028,1,4,2,2,11,0,0.0,0,1976,B02,1,-1,-1
201300000028,2,1,2,0,31,0,0.0,0,2011,B02,3,-1,-1
201300000028,1,4,1,1,11,0,0.0,0,1978,C03,1,-1,-1
201300000028,2,3,1,0,31,0,0.0,0,2007,C03,3,-1,-1
201300000029,1,1,2,5,11,0,0.0,0,1980,A01,1,-1,-1
201300000029,3,3,2,5,-1,2,3.0,1,1933,A01,-1,-1,-1
201300000030,1,3,1,1,11,0,0.0,0,1963,A01,1,-1,-1
201300000031,1,3,2,5,11,0,0.0,0,1969,B02,1,-1,-1
201300000031,1,1,1,1,11,0,0.0,0,1980,A01,1,-1,-1
201300000032,1,3,2,5,11,0,0.0,0,1974,A01,1,-1,-1
201300000033,1,1,1,4,11,0,0.0,0,1981,A01,1,-1,-1
201300000033,1,3,1,0,11,0,0.0,0,1936,B02,1,-1,-1
201300000033,2,3,2,0,11,0,0.0,0,1938,B02,1,-1,-1
201300000034,1,3,1,5,12,0,0.0,0,1987,A01,-1,-1,-1
201300000035,1,3,1,4,11,0,0.0,0,1960,A01,1,-1,-1
201300000036,1,1,2,9,11,0,0.0,0,1969,A01,1,-1,-1
201300000036,2,1,2,0,11,0,0.0,0,1983,A01,1,-1,-1
201300000036,2,3,2,0,11,0,0.0,0,2005,A01,1,-1,-1
201300000036,2,1,2,0,11,0,0.0,0,2007,A01,1,-1,-1
201300000036,2,1,1,0,11,0,0.0,0,2010,A01,1,-1,-1
201300000037,1,1,1,5,11,0,0.0,0,1977,A01,1,-1,-1
201300000037,1,2,1,5,21,0,0.0,0,1947,B02,2,-1,-1
201300000037,1,1,2,5,11,0,0.0,0,1990,C03,1,-1,-1
201300000037,2,1,1,0,11,0,0.0,0,1990,C03,1,-1,-1
201300000038,1,1,1,1,11,0,0.0,0,1970,A01,1,-1,-1
201300000038,1,3,1,1,11,0,0.0,0,1979,B02,1,-1,-1
201300000039,1,2,1,5,21,0,0.0,0,1970,A01,2,-1,-1
201300000039,1,1,1,1,11,0,0.0,0,1978,B02,1,-1,-1
201300000040,1,1,1,5,11,0,0.0,0,1981,B02,1,-1,-1
201300000040,1,3,1,0,11,0,0.0,0,1987,A01,1,-1,-1
201300000041,1,3,1,1,21,0,0.0,0,1992,B02,2,-1,-1
201300000041,1,1,1,0,11,0,0.0,0,1968,A01,1,-1,-1
201300000042,1,4,1,5,21,0,0.0,0,1995,A01,2,-1,-1
201300000042,2,4,2,0,21,0,0.0,0,1997,A01,2,-1,-1
201300000042,1,1,1,5,11,0,0.0,0,1993,B02,1,-1,-1
201300000043,1,3,1,5,11,0,0.0,0,1975,A01,1,-1,-1
201300000043,2,3,2,0,11,0,0.0,0,1941,A01,1,-1,-1
201300000043,2,3,2,0,11,0,0.0,0,1966,A01,1,-1,-1
201300000044,1,1,2,1,11,0,0.0,0,1990,B02,1,-1,-1
201300000044,1,4,2,0,11,0,0.0,0,1989,C03,1,-1,-1
201300000044,1,3,1,0,11,0,0.0,0,1961,D04,1,-1,-1
201300000044,2,4,1,0,11,0,0.0,0,1996,D04,1,-1,-1
201300000044,1,1,1,5,11,0,0.0,0,1971,A01,1,-1,-1
201300000045,1,4,1,5,11,0,0.0,0,1978,B02,1,-1,-1
201300000045,1,4,2,5,11,0,0.0,0,1934,A01,1,-1,-1
201300000046,1,1,2,5,11,0,0.0,0,1948,B02,1,-1,-1
201300000046,1,3,1,5,21,0,0.0,0,1994,A01,2,-1,-1
201300000047,1,3,1,5,21,0,0.0,0,1997,B02,2,-1,-1
201300000047,1,1,1,5,11,0,0.0,0,1949,A01,1,-1,-1
201300000048,1,2,1,5,21,0,0.0,0,1969,A01,2,-1,-1
201300000049,1,3,1,5,11,0,0.0,0,1939,B02,1,-1,-1
201300000049,1,1,1,1,11,0,0.0,0,1977,A01,1,-1,-1
201300000050,1,3,1,2,1,0,0.0,0,1999,B02,-1,-1,-1
201300000050,1,3,1,5,21,0,0.0,0,1977,A01,2,-1,-1
201300000051,1,1,1,3,11,0,0.0,0,1986,A01,1,-1,-1
201300000051,3,3,2,3,-1,4,3.0,1,1920,A01,-1,-1,-1
201300000052,1,3,2,3,11,0,0.0,0,1963,A01,1,-1,-1
201300000053,1,1,2,1,11,0,0.0,0,1990,A01,1,-1,-1
201300000053,2,3,2,0,11,0,0.0,0,1974,A01,1,-1,-1
201300000054,1,4,1,5,11,0,0.0,0,1991,A01,1,-1,-1
201300000054,2,3,2,0,11,0,0.0,0,1997,A01,1,-1,-1
201300000054,2,3,1,0,11,0,0.0,0,1996,A01,1,-1,-1
201300000054,2,3,2,0,11,0,0.0,0,1996,A01,1,-1,-1
201300000055,1,1,1,1,11,0,0.0,0,1955,A01,1,-1,-1
201300000055,3,4,1,1,-1,0,9.0,1,1955,A01,-1,-1,-1
201300000056,1,3,1,5,22,0,0.0,0,1959,A01,-1,-1,-1
201300000057,1,3,1,5,21,0,0.0,0,1964,A01,2,-1,-1
201300000058,1,3,1,5,11,0,0.0,0,1962,A01,1,-1,-1
201300000059,1,4,1,5,21,0,0.0,0,1971,A01,2,-1,-1
201300000060,1,3,1,5,21,0,0.0,0,1976,B02,2,-1,-1
201300000060,1,1,1,5,11,0,0.0,0,1960,A01,1,-1,-1
201300000060,2,1,2,0,11,0,0.0,0,1969,A01,1,-1,-1
201300000060,2,1,2,0,31,0,0.0,0,2004,A01,3,-1,-1
201300000060,2,1,2,0,31,0,0.0,0,2010,A01,3,-1,-1
201300000061,1,1,1,5,11,0,0.0,0,1994,A01,1,-1,-1
201300000061,2,1,2,0,11,0,0.0,0,1996,A01,1,-1,-1
201300000061,2,3,2,0,11,0,0.0,0,1994,A01,1,-1,-1
201300000061,2,1,1,0,11,0,0.0,0,1993,A01,1,-1,-1
201300000062,1,1,2,4,11,0,0.0,0,1981,B02,1,-1,-1
201300000062,1,3,1,5,21,0,0.0,0,1972,A01,2,-1,-1
201300000062,2,1,2,0,21,0,0.0,0,2000,A01,2,-1,-1
201300000063,1,3,1,5,11,0,0.0,0,1981,A01,1,-1,-1
201300000063,2,3,1,0,11,0,0.0,0,1984,A01,1,-1,-1
201300000063,2,1,1,0,11,0,0.0,0,1975,A01,1,-1,-1
201300000064,1,2,1,5,21,0,0.0,0,1987,A01,2,-1,-1
201300000064,1,1,1,1,11,0,0.0,0,1969,B02,1,-1,-1
201300000065,1,3,1,5,21,0,0.0,0,1984,A01,2,-1,-1
201300000066,1,1,1,1,11,0,0.0,0,1984,B02,1,-1,-1
201300000066,1,4,1,5,11,0,0.0,0,1965,A01,1,-1,-1
201300000066,2,3,2,0,11,0,0.0,0,1967,A01,1,-1,-1
201300000066,2,1,2,0,11,0,0.0,0,1993,A01,1,-1,-1
