Num_Acc,num_veh,category_veh,obstacle,obstacle_m,choc,manoeuvre
201600000001,B02,7,0,0,1,1
201600000001,A01,2,0,0,7,15
201600000002,A01,7,6,0,1,1
201600000003,A01,7,0,1,6,1
201600000004,B02,32,0,0,1,1
201600000004,A01,7,0,0,8,15
201600000005,B02,30,0,2,1,15
201600000005,A01,7,0,2,3,1
201600000006,A01,7,0,1,1,1
201600000007,A01,30,0,0,3,15
201600000007,B02,7,0,2,2,17
201600000008,B02,7,0,2,2,1
201600000008,A01,7,0,2,3,13
201600000009,A01,7,0,0,3,1
201600000009,B02,30,0,0,2,1
201600000010,A01,7,0,1,2,1
201600000011,A01,7,0,1,1,1
201600000012,A01,33,0,0,0,1
201600000013,A01,7,0,1,2,1
201600000014,A01,33,0,2,1,13
201600000014,B02,33,14,0,9,21
201600000014,C03,7,0,2,3,1
201600000015,B02,1,0,2,1,0
201600000015,C03,1,0,2,1,0
201600000015,A01,7,0,2,3,16
201600000016,C03,7,0,2,5,10
201600000016,B02,7,0,2,2,10
201600000016,A01,33,0,2,2,1
201600000017,A01,7,2,0,8,1
201600000018,A01,7,0,2,1,0
201600000018,B02,7,0,2,3,16
201600000019,C03,33,0,2,8,23
201600000019,B02,7,0,2,1,1
201600000019,A01,7,16,2,3,15
201600000020,A01,7,0,2,8,5
201600000020,B02,7,0,2,3,1
201600000021,A01,30,0,1,1,1
201600000022,B02,10,0,2,1,19
201600000022,A01,7,0,2,8,1
201600000023,A01,7,13,0,1,1
201600000024,A01,7,13,0,1,1
201600000025,A01,7,13,0,1,1
201600000026,A01,7,0,1,1,1
201600000027,A01,7,0,1,1,1
201600000028,B02,7,0,2,1,1
201600000028,A01,7,0,0,8,10
201600000029,A01,7,6,0,1,1
201600000029,B02,7,0,9,1,1
201600000030,A01,7,0,1,2,2
201600000031,A01,17,0,2,3,17
201600000031,B02,21,0,0,4,15
201600000032,B02,7,0,0,4,15
201600000032,A01,33,0,2,1,1
201600000033,A01,7,0,1,3,1
201600000034,A01,17,0,2,3,13
201600000034,B02,17,0,2,3,1
201600000035,A01,7,6,0,7,1
201600000036,B02,7,0,2,6,1
201600000036,A01,10,0,2,2,13
201600000037,A01,7,13,0,1,1
201600000038,A01,7,0,2,5,19
201600000038,B02,7,0,2,1,1
201600000039,A01,33,9,0,1,1
201600000040,A01,7,8,0,1,0
201600000041,B02,33,0,2,1,17
